Time (h)	GUR	mu
0	-13.09117588	0.789912823
0.01	-13.00015758	0.791030105
0.02	-12.90960947	0.792053945
0.03	-12.81954244	0.792986479
0.04	-12.72996678	0.793829818
0.05	-12.64089217	0.794586045
0.06	-12.55232772	0.795257212
0.07	-12.46428198	0.795845346
0.08	-12.37676295	0.796352443
0.09	-12.28977811	0.79678047
0.1	-12.20333441	0.797131364
0.11	-12.11743832	0.797407033
0.12	-12.03209584	0.797609354
0.13	-11.94731248	0.797740174
0.14	-11.86309333	0.797801309
0.15	-11.77944303	0.797794544
0.16	-11.69636581	0.797721636
0.17	-11.61386549	0.797584308
0.18	-11.53194552	0.797384254
0.19	-11.45060896	0.797123139
0.2	-11.36985851	0.796802594
0.21	-11.28969652	0.796424223
0.22	-11.21012502	0.795989599
0.23	-11.13114572	0.795500263
0.24	-11.05275999	0.79495773
0.25	-10.97496895	0.794363481
0.26	-10.8977734	0.793718971
0.27	-10.82117388	0.793025625
0.28	-10.74517066	0.792284838
0.29	-10.66976379	0.791497979
0.3	-10.59495303	0.790666386
0.31	-10.52073796	0.789791371
0.32	-10.4471179	0.788874217
0.33	-10.37409199	0.787916182
0.34	-10.30165915	0.786918493
0.35	-10.22981813	0.785882355
0.36	-10.15856746	0.784808945
0.37	-10.08790554	0.783699412
0.38	-10.01783057	0.782554883
0.39	-9.948340622	0.781376458
0.4	-9.879433594	0.780165213
0.41	-9.811107253	0.778922199
0.42	-9.743359231	0.777648443
0.43	-9.676187031	0.77634495
0.44	-9.609588036	0.775012699
0.45	-9.543559514	0.77365265
0.46	-9.478098625	0.772265736
0.47	-9.413202428	0.770852874
0.48	-9.348867887	0.769414953
0.49	-9.285091873	0.767952845
0.5	-9.221871175	0.766467399
0.51	-9.159202502	0.764959447
0.52	-9.097082489	0.763429796
0.53	-9.0355077	0.761879237
0.54	-8.974474638	0.760308541
0.55	-8.913979741	0.758718458
0.56	-8.854019396	0.757109723
0.57	-8.794589937	0.75548305
0.58	-8.735687648	0.753839137
0.59	-8.677308774	0.752178662
0.6	-8.619449515	0.75050229
0.61	-8.56210604	0.748810666
0.62	-8.505274482	0.747104419
0.63	-8.448950944	0.745384163
0.64	-8.393131505	0.743650496
0.65	-8.337812218	0.741904001
0.66	-8.282989118	0.740145245
0.67	-8.228658219	0.738374781
0.68	-8.174815525	0.736593147
0.69	-8.121457021	0.734800867
0.7	-8.068578687	0.732998454
0.71	-8.016176493	0.731186403
0.72	-7.964246404	0.729365198
0.73	-7.91278438	0.727535312
0.74	-7.861786381	0.725697202
0.75	-7.811248367	0.723851315
0.76	-7.761166301	0.721998086
0.77	-7.711536147	0.720137937
0.78	-7.662353878	0.718271279
0.79	-7.613615473	0.716398513
0.8	-7.565316918	0.714520028
0.81	-7.517454212	0.712636201
0.82	-7.470023364	0.710747402
0.83	-7.423020394	0.708853988
0.84	-7.376441338	0.706956308
0.85	-7.330282246	0.705054699
0.86	-7.284539186	0.70314949
0.87	-7.239208241	0.701241002
0.88	-7.194285513	0.699329544
0.89	-7.149767122	0.697415418
0.9	-7.105649209	0.695498918
0.91	-7.061927936	0.693580329
